Country ,Date(spike),Summary ,Description ,Website1,Website 2
Russia,2022.2.13,Self-isolation restriction lifted,"The highly contagious omicron variant spreads through the country. However, authorities are not planning any lockdowns or other additional restrictions. Moreover, the government lifted the seven-day self-isolation restrictions for those who come into contact with COVID-19 patients.",https://medicalxpress.com/news/2022-02-russia-covid-10x-month.html,https://www.reuters.com/world/russia-eases-covid-restrictions-daily-cases-hit-record-2022-02-05/
Turkey,2020.12.15,Inadequate medical facilities,"Even though the president announced new measures to stop the spread of infection, such as a nightly curfew on weekdays, a mandatory stay-at-home order covering the entire weekend, a limiting of weddings and funerals to 30 people, and a ban on the use of public transport for over-65s and under-20s.The surge in infections pushed the hospital capacity to its limit, the hospital simply did not have enough ventilators for patients that desperately need them to survive. And the elderly patients living in the same house as working relatives can cause more infection.",https://www.aljazeera.com/news/2020/12/3/turkeys-covid-19-explosion-brings-harsh-restrictions,
Turkey,2022.1.20, Cancel the pcr test,"Noting that the upward trend in cases is expected to continue for another six weeks, experts consider the abolition of the PCR test requirement, especially for travels made via intercity buses, a great danger before the winter break.Furthermore , the third dose rate is still very low in Turkey.",https://www.hurriyetdailynews.com/number-of-cases-may-peak-during-holiday-experts-warn-170883,
Turkey,2022.2,Omicron,Daily cases surged due to the highly transmissible Omicron variant of the coronavirus.,https://www.theguardian.com/world/live/2022/feb/04/covid-live-blog-india-deaths-pass-500000-canada-rules-out-military-response-to-vaccine-protests,
India,2021.12.31,Omicron,"Karnataka logs 23 new Omicron cases, including 19 foreign returnees,which are international travellers from USA, Europe, Middle East and Africa",https://www.hindustantimes.com/india-news/breaking-news-updates-december-31-2021-101640911501028.html,
India,2021.5.6,Attending the rally.,"Government allows large crowds to gather for religious festivals and election rallies in various parts of the country. Fully opening society with unrestrained crowding, mass gatherings, large scale travel, and lack of personal protective measures such as masks permitted the virus to move freely.The mass gatherings likely turned into super spreader events.",https://www.cnbc.com/2021/05/03/india-covid-crisis-charts-show-the-severity-of-the-second-wave.html,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00993-4/fulltext
India,2022.1.20,Crowds spread virus,Hundreds of thousands of Hindu worshippers have gathered on the banks of India’s Ganges river for a holy dip. The event has raised concerns that pilgrims could get infected and take the virus back to their cities and villages in other parts of the country.,https://www.aljazeera.com/news/2022/1/14/india-hindus-holy-dip-makar-sankranti-covid-surge,https://www.aljazeera.com/news/2022/1/13/india-covid-cases-cities-experts-omicron-elections-hindu-festival
Saudi Arabia,2022.1.19,Omicron,"Saudi Arabia recorded its first case of the omicron variant in early December, thought to have come from an undisclosed north African country. Case numbers have been climbing rapidly as the more-transmissible omicron variant spreads.Social distancing at Islam’s holiest site was introduced at the beginning of the pandemic and initially dropped in October of 2021.Restrictions were reintroduced as cases rose following the detection of the first case of the omicron variant in December.",https://english.alarabiya.net/coronavirus/2022/01/13/Saudi-Arabia-breaks-last-COVID-infection-number-to-hit-another-highest-ever-record,
Japan,2021.8,Tokyo Olympics,Tokyo Olympics leads to increase in COVID cases,https://www.aljazeera.com/news/2021/8/10/did-the-tokyo-olympics-fuel-japans-covid-19-surge,
Japan,2022.2.10,Omicron,"The majority of infections are driven by the Omicron variant, and almost 40 percent of positive cases are “breakthrough” infections in people who have been vaccinated.The Japanese government announced that three southern prefectures will fall under a quasi-state of emergency running from Sunday until the end of January in an effort to curb the spread of Omicron.",https://thediplomat.com/2022/01/japans-covid-19-surge-spreads-at-alarming-speed/,
Thailand ,2021.8.12,Alpha virus,"In April, a new wave of infections originated from nightlife spots in Bangkok's Thonglor area and quickly spread to Bangkok and the rest of the country. It was identified as the highly contagious Alpha variant first reported in the UK, and by April 14, more than a thousand cases were detected a day, resulting in a shortage of hospital beds due to government policy requiring admission of all confirmed cases.Then the virus continued until August.",https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Thailand,
Thailand,2022.4.1,Celebrating Songkran.,"Millions of Thais will travel to their hometowns before the new year holiday from cities such as Bangkok to join families in celebrating Songkran, the first time they can do so without any travel curbs since the outbreak of the pandemic. The economists are concerned about a sharp rise in new infections after Songkran.",https://www.bloomberg.com/news/articles/2022-04-12/thailand-ramps-up-vaccinations-as-festival-seen-fueling-covid,
Brazil,2022.2.3,Hospitals staff shortages,"As the demand rises for health services, hospitals are also suffering staff shortages.Several states have cancelled Carnival celebrations, hoping to slow the spread. Rio de Janeiro and Sao Paulo have both banned the famous street parties, though for now both cities still plan a samba parade. President’s claims such as rallying against lockdowns, refusing to wear a mask in public and opting not to get vaccinated make the pandemic worse. Insufficient testing made it harder for experts to track the spread of the highly contagious variant in Brazil, and they worry the full scale of the outbreak might only become clear in coming weeks.",https://www.reuters.com/world/americas/brazil-reels-omicron-spreads-weighing-hospitals-economy-2022-01-14/,https://www.france24.com/en/live-news/20220112-brazil-s-bolsonaro-downplays-omicron
United Arab Emirates,2022.1.22,Travel ban,"The UAE foreign ministry and the National Emergency Crisis and Disaster Management Authority on Saturday announced it will ban unvaccinated Emirati citizens from travelling abroad from January 10, according to the state news agency WAM.",https://english.alarabiya.net/coronavirus/2022/01/04/UAE-announces-increase-in-COVID-19-numbers-records-2-581-new-cases-in-24-hours,
Canada,2022.1.4,Omicron,"Omicron sweeps Canada, and testing capacity has been pushed to the limit before the New Year’s Eve. By Jan 20th, over 6.5 million eligible Canadians need one or more doses to complete their primary series and many others are eligible to get a booster dose. In addition, there is accumulating evidence that a booster dose results in better protection against severe illness from Omicron.",https://globalnews.ca/news/8481516/covid-canada-omicron-hospitalizations/,https://www.canada.ca/en/public-health/news/2022/01/statement-from-the-chief-public-health-officer-of-canada-on-january-21-2022.html
Qatar,2022.4.13,Third coronavirus wave,"Qatar is witnessing the start of a third coronavirus wave, a spike in cases fuelled by the Omicron variant.while organisers called for health and safety protocols and regulations to be followed at the events, huge crowds and a widespread lack of social distancing was witnessed, raising fear among residents of a resurgence of the outbreak in the country for hosting the football World Cup.",https://www.aljazeera.com/news/2022/1/3/qatar-sees-spike-in-covid-cases-as-it-enters-third-wave,
Canada,2022.4.13,Restrictions lifted,"Quebec Premier François Legault said the province would adopt a go-slow approach, which will see gathering limits raised on Monday for private functions, as well as the reopening of restaurants at 50 percent capacity and a resumption of some sports activities for those under 18. The Ontario government confirmed it would start easing health protection orders by boosting the size of social gatherings and reopening businesses such as restaurants, gyms and cinemas with capacity limits — part of a plan to lift all constraints by mid-March.",https://www.thestar.com/news/canada/2022/01/25/coronavirus-covid-19-updates-toronto-canada-january-25.html,
South Korea,2022.3.12,Presidential Campaign,"Before the presidential election, tens of thousands citizens gathered at rallies around the country in shows of support for their favourite candidates.",https://www.nytimes.com/live/2022/03/12/world/covid-19-mandates-cases-vaccine,
HongKong,2022.2.17,Fifth coronavirus wave,"The current fifth wave of local transmissions was started by aircrew members, including two who flouted quarantine rules upon returning from overseas.",https://www.scmp.com/news/hong-kong/health-environment/article/3167327/omicron-has-brought-hong-kong-its-knees-how-did,
Vietnam,2022.3.6,International travel open,"Vietnam announced an end to quarantine for international travelers on March, as it seeks to restart its tourism industry after two years of strict COVID-19 restrictionsm,the only virus requirement for tourists is a negative COVID-19 test",https://english.alarabiya.net/coronavirus/2022/03/16/Vietnam-ends-COVID-19-quarantine-for-international-travelers-in-bid-to-boost-tourism,
Germany,2022.3.16,Less population vaccinated,"In Germany, nearly 76 percent are fully vaccinated, according to the Johns Hopkins data, and Britain has fully vaccinated 73.6 percent.",https://www.washingtonpost.com/health/2022/03/16/covid-ba2-omicron-surge/,
Germany,2022.3.18,NO WFH,  Companies will no longer be obliged to allow their employees to work from home from 20 March 2022.,https://www.simmons-simmons.com/en/publications/ckh1rs2cv0vmc0931oa7w6y9h/covid-19-update-on-lockdown-measures-in-germany,
Singapore,2021.10.27,Quarantin release schedully,"Singaporeans were looking forward to the lifting of current restrictions, originally due to end on Oct. 24. ",https://fortune.com/2021/10/27/singapore-covid-reopening-policy-endemic-vaccine-travel-social-distancing-devadas-krishnadas/,
Singapore,2022.2.16,Security management measures changed,the Multi-Ministry Taskforce (MTF) announced the streamlining of Safe Management Measures (SMMs) to five core parameters (SMM 1 – 5).,https://www.moh.gov.sg/news-highlights/details/resuming-our-transition-to-resilience,
Australia,2022.1.1,Growth during Christmas,"Over the week since Christma Day,cases in New South Wales have more than tripled from 6288. ",https://www.google.com/search?q=australia+covid+cases&oq=australia+covid+cases&aqs=chrome..69i57j0i457i512j0i512l8.107899j0j15&sourceid=chrome&ie=UTF-8,
United Kingdom,2022.1.1,Crowds gathering,"Although official events to celebrate New Year were cancelled in London and Edinburgh, crowds gather at both locations to welcome in 2022",https://www.bbc.com/news/uk-59844031 ,
Spain,2022.1.10,Cases broken all records.,"The sixth coronavirus wave in Spain has been growing since Christmas, the number of cases detected has broken all records, the number of hospitalizations has reached very high levels and is continuing to rise.",https://english.elpais.com/society/2022-01-10/how-spains-sixth-coronavirus-wave-is-increasing-pressure-on-hospitals.html,
Italy,2022.1.10,Students returning to school ," Italy’s school students go back to class on January 10th, with classes in  some regions resuming earlier, on the 7th.we do get a holiday on Thursday, January 6th, for Epiphany: this is a big day in overwhelmingly Catholic Italy. It means a day off work for adults and more presents for children, this time delivered by Befana, an old woman usually depicted as a friendly, broomstick-wielding witch, in a tradition similar to that in Spain where they go mad for the Three Kings.",https://www.thelocal.it/20220103/what-changes-about-life-in-italy-in-january-2022/,https://www.theflorentine.net/2022/01/12/covid-19-january-rules-and-testing/
United States,2021.1.12,Less population vaccinated,"In the United States, just 65.3 percent of the population, 216.8 million people, are fully vaccinated, and only 96.1 million have received a booster shot, according to data tracked by The Post.",https://www.washingtonpost.com/health/2022/03/16/covid-ba2-omicron-surge/,
Israel,2022.1.23,Omicron,The massive rise in cases has been blamed on the fast-spreading Omicron variant.,https://www.timesofisrael.com/more-covid-cases-confirmed-in-israel-in-january-than-all-of-2021-data-shows/,
Israel,2022.3.23,BA.2 variant,BA.2 variant seen as main reason for surge in new cases,https://www.haaretz.com/israel-news/13-000-new-covid-infections-in-israel-as-highly-infectious-ba-2-subvariant-spreads-1.10689276,
Netherlands,2022.2.10,"Mass demonstrations, protests","Over the weekend, several house showrooms defied restrictions to showcase fashion, as a theatre courtyard open house and showroom.

Public support for the protests over the past month.",https://www.bbc.com/news/world-europe-60129830,
Belgium,2022.3.4,Covid-19 measures loosening,"During its meeting of 4 March 2022, the Concertation Committee announced a further loosening of the Covid-19 measures.",https://www.simmons-simmons.com/en/publications/ck9jux1oa74ci0900pcpw833f/covid-19-belgium-to-end-all-covid-measures,
France,2022.3.14,mask policy loosening,"Just for information, since 14 March 2022, it has no longer been compulsory to wear a mask indoors (museums, monuments, cultural and leisure venues, restaurants, etc.) in France.",https://en.parisinfo.com/practical-paris/info/guides/info-disruption-paris,
Switzerland,2022.1.30,WFH policy loosening,The Swiss government has decided to abolish mandatory work-from-home and the quarantine rules in place to prevent an overload of the health system due to the Covid-19 pandemic.,https://www.swissinfo.ch/eng/swiss-ease-covid-19-curbs-and-plan-gradual-phase-out/47313964,